Engine_speed_rpm,Engine_torque_Nm,Power_in_kW
1643.75,53.962,88.7000375
1652.5,34.755,57.4326375
1652.25,18.995,31.38448875
1646,13.085,21.53791
1649,11.607,19.139943
1653,11.115,18.373095
1655.5,11.115,18.4008825
1646,10.623,17.485458
1648.25,5.697,9.39008025
1646.75,1.265,2.08313875
1639.25,-0.705,-1.15567125
1620,-1.198,-1.94076
1585.25,-2.182,-3.4590155
1588.75,-2.675,-4.24990625
1585.75,-3.168,-5.023656
1596,-3.66,-5.84136
1616.75,10.13,16.3776775
1628,11.607,18.896196
1626.75,13.085,21.28602375
1633.5,14.07,22.983345
1641,16.532,27.129012
1651.5,18.995,31.3702425
1647,23.427,38.584269
1639.25,29.337,48.09067725
1637.25,32.785,53.67724125
1648.25,32.785,54.03787625
1650.75,32.785,54.11983875
1638.25,32.785,53.71002625
1626.5,32.785,53.3248025
1625.75,32.785,53.30021375
1633.25,33.277,54.34966025
1634,33.277,54.374618
1635.75,34.755,56.85049125
1639,36.725,60.192275
1642.25,41.65,68.3997125
1645,43.127,70.943915
1643.75,43.127,70.89000625
1649.5,43.127,71.1379865
1653.25,43.127,71.29971275
1654.5,43.127,71.3536215
1658,43.127,71.504566
1661,43.127,71.633947
1664.25,43.127,71.77410975
1671.25,43.127,72.07599875
1671,42.635,71.243085
1672,41.157,68.814504
1678.5,40.665,68.2562025
1678.75,40.665,68.26636875
1685.25,40.665,68.53069125
1678.75,35.247,59.17090125
1672.25,33.77,56.4718825
1656.75,27.86,46.157055
1591.75,17.518,27.8842765
1485.5,15.055,22.3642025
1365.25,15.055,20.55383875
1268.75,16.04,20.35075
1287.25,16.04,20.64749
1275.75,16.04,20.46303
1282.25,16.04,20.56729
1277.5,16.04,20.4911
1274.75,16.04,20.44699
1277.75,16.04,20.49511
1275.75,16.04,20.46303
1275.75,16.04,20.46303
1275,16.04,20.451
1273.75,16.04,20.43095
1270.5,16.04,20.37882
1270.25,16.04,20.37481
1272,16.04,20.40288
1266.5,16.04,20.31466
1271.25,16.04,20.39085
1265.25,16.04,20.29461
1267.5,16.04,20.3307
1266.75,16.04,20.31867
1264.75,16.04,20.28659
1263.75,16.04,20.27055
1263,16.04,20.25852
1265.75,16.04,20.30263
1262.5,16.04,20.2505
1261.25,16.04,20.23045
1262,16.04,20.24248
1258,16.532,20.797256
1258.25,20.965,26.37921125
1264.75,23.427,29.62929825
1259.75,23.92,30.13322
1261.75,23.92,30.18106
1261.25,23.92,30.1691
1270.5,27.367,34.7697735
1291.25,33.277,42.96892625
1305.25,34.262,44.7204755
1308.75,37.71,49.3529625
1345,39.68,53.3696
1351.25,40.665,54.94858125
1326.5,51.007,67.6607855
1325,60.857,80.635525
1347.75,65.782,88.6576905
1331,66.275,88.212025
1302.25,67.26,87.589335
1272.25,69.722,88.7038145
1286.75,70.215,90.34915125
1284.25,70.215,90.17361375
1289.75,71.2,91.8302
1294.25,71.692,92.787371
1296,71.692,92.912832
1300.5,71.692,93.235446
1303.5,71.692,93.450522
1311.5,56.425,74.0013875
1309.75,31.307,41.00434325
1301.25,21.95,28.5624375
1311.25,16.532,21.677585
1313.5,15.055,19.7747425
1307.75,15.055,19.68817625
1316.25,15.055,19.81614375
1315.5,15.055,19.8048525
1327.5,15.055,19.9855125
1333.5,15.055,20.0758425
1332.75,15.055,20.06455125
1322.25,15.055,19.90647375
1316,15.055,19.81238
1319.25,15.055,19.86130875
1319,15.055,19.857545
1322.5,15.055,19.9102375
1322.5,15.055,19.9102375
1327,15.055,19.977985
1323.5,15.055,19.9252925
1326.25,15.547,20.61920875
1322.5,17.025,22.5155625
1318,22.935,30.22833
1310.75,24.905,32.64422875
1316,25.397,33.422452
1333.5,26.382,35.180397
1341.25,29.83,40.0094875
1349.75,35.74,48.240065
1360,40.665,55.3044
1408.75,44.112,62.14278
1430.25,44.112,63.091188
1394.5,47.067,65.6349315
1376.5,54.947,75.6345455
1375.5,57.41,78.967455
1392.75,59.38,82.701495
1388.75,61.35,85.1998125
1356.25,64.797,87.88093125
1340.5,65.782,88.180771
1338,65.782,88.016316
1329.5,66.767,88.7667265
1331.75,66.767,88.91695225
1340,66.767,89.46778
1339.25,66.767,89.41770475
1345.75,67.26,90.515145
1349.75,67.26,90.784185
1351,67.26,90.86826
1355.75,67.752,91.854774
1358,73.17,99.36486
1365.25,84.005,114.6878263
1369,87.945,120.396705
1374,87.945,120.83643
1382,87.452,120.858664
1388,84.005,116.59894
1397.75,80.557,112.5985468
1398.25,80.557,112.6388253
1392.75,80.557,112.1957618
1399,80.557,112.699243
1403.25,83.02,116.497815
1408.25,86.96,122.46142
1423.25,86.96,123.76582
1452,86.96,126.26592
1455,86.467,125.809485
1461.25,86.467,126.3499038
1460.25,85.975,125.5449938
1464.25,84.99,124.4466075
1467,78.587,115.287129
1456,74.155,107.96968
1443.25,70.215,101.3377988
1453.75,67.752,98.49447
